ERR420386	ERR420387	ERR420388	ERR420389	ERR420390	ERR420391	ERR420392	ERR420393
100302218	0	0	0	0	0	0	0	0
80045	0	0	17	12	1	1	0	1
407040	0	0	0	0	0	0	0	0
727721	0	1	3	2	2	2	2	0
9563	107	125	2450	2482	1067	148	138	995
80176	43	47	62	80	27	40	39	38
100506022	7	7	5	1	0	9	6	0
84275	155	93	58	54	38	91	156	43
199953	18	53	30	25	5	67	19	2
5293	36	90	137	139	41	90	54	32
644997	0	0	6	4	3	0	4	2
22883	3764	4109	317	327	143	3992	3682	108
645010	0	0	0	0	0	2	0	0
56998	144	186	158	121	54	191	167	53
84328	414	254	272	300	329	194	412	291
64802	194	110	150	145	177	96	165	168
116362	53	37	17	16	14	38	61	16
10277	890	604	482	482	425	548	859	418
23095	8807	5124	1193	1206	1236	5038	8881	1192
100287506	0	2	0	0	0	0	0	0
5226	158	192	258	238	139	173	163	126
378708	66	46	37	51	42	42	43	41
1325	11	86	1	1	0	93	15	0
1676	166	174	137	170	81	161	154	85
5195	43	145	162	169	30	169	43	30
54897	3	8	50	47	15	5	4	10
148345	0	2	4	2	0	2	0	1
23435	974	616	935	915	884	581	935	844
10747	82	34	1227	1157	671	39	72	699
6723	23	76	98	103	8	84	25	11
5394	357	188	299	295	315	197	333	317
2475	901	584	883	907	705	583	860	661
10218	8	5	9	19	16	4	8	8
29914	63	50	123	121	63	45	55	63
57540	9	49	0	0	0	56	9	0
26232	206	476	115	113	31	450	172	36
93611	238	542	100	75	24	470	231	21
26270	6	21	67	62	8	32	14	15
10459	15	45	56	73	11	54	21	10
374946	1	3	0	0	0	1	6	0
100506086	18	11	0	0	0	5	10	2
57085	5	25	71	83	10	11	2	5
100506273	0	0	0	0	0	0	0	0
284498	0	0	0	0	0	0	0	0
100506310	0	0	1	0	0	0	0	0
100506116	0	0	0	0	0	0	0	0
4524	90	135	186	218	64	156	76	63
1185	502	429	150	179	95	475	523	98
4878	6	6	1	4	3	7	11	0
4879	0	0	0	0	0	0	0	0
26829	331	371	152	124	72	374	285	89
90231	54	63	275	294	73	65	61	87
5351	58	124	835	891	180	119	48	184
9927	1385	1116	1276	1298	746	1053	1319	675
60672	3	40	48	51	3	40	5	3
943	0	0	2	3	0	0	0	1
7133	23	58	474	466	87	59	30	85
55187	3093	1610	1772	1885	2031	1573	3001	1959
677885	90	158	124	121	42	139	85	28
9249	96	124	1223	1270	428	111	93	399
343066	0	0	0	0	0	0	0	1
126767	1	0	0	0	0	0	0	0
93190	2	1	0	0	0	0	1	0
390999	0	0	0	0	0	0	0	0
65121	0	0	0	0	0	0	0	0
440560	0	0	0	0	0	0	0	0
343069	3	2	1	0	1	3	4	4
65122	0	0	0	0	0	0	0	0
400735	0	0	0	0	0	0	0	0
343071	0	0	0	0	0	0	0	0
441871	0	0	0	0	0	0	0	0
440561	0	0	0	0	0	0	0	0
653606	0	0	0	0	0	0	0	0
729368	0	0	0	0	0	0	0	0
441873	0	0	0	0	0	0	0	0
440563	4	2	3	2	2	0	3	0
645359	0	0	0	0	0	0	0	0
401940	0	0	0	0	0	0	0	0
343068	0	0	0	0	0	0	0	0
391002	0	0	0	0	0	0	0	0
343070	0	0	0	0	0	0	0	0
400736	0	0	0	0	0	0	0	0
391003	0	0	0	0	0	0	0	0
654348	0	0	0	0	0	0	0	0
391001	0	0	0	0	0	0	0	0
729516	0	0	0	0	0	0	0	0
653619	0	0	0	0	0	0	0	0
729528	0	0	0	0	0	0	0	0
645414	0	0	0	0	0	0	0	0
391004	0	0	0	0	0	0	0	0
645425	0	0	0	0	0	0	0	0
126755	17	9	0	0	0	2	12	0
10630	67	56	2	4	2	57	71	5
7799	1621	1074	347	346	307	1034	1641	321
23254	226	220	78	64	32	251	257	25
200197	9	12	1	2	5	6	11	2
55092	30	31	32	45	14	41	17	12
114827	21	11	1	0	0	11	19	2
79180	101	275	160	153	23	317	128	32
11330	0	0	1	1	0	0	0	0
63036	0	2	0	0	1	3	0	0
51032	11	6	4	3	9	9	8	6
842	66	46	67	61	23	44	60	36
23341	645	343	759	839	829	315	625	807
100507192	20	15	291	346	347	16	21	315
79814	51	54	1493	1508	926	55	65	985
645317	222	224	146	183	78	228	216	99
84301	125	46	279	301	303	62	111	271
6248	68	22	184	155	269	22	71	249
23207	133	481	215	217	30	509	130	33
284723	10	9	43	51	16	11	6	10
388595	0	0	137	137	4	0	0	4
54751	4	8	34	39	11	6	3	9
440567	2089	1412	451	470	451	1385	2088	431
729614	44	54	37	42	25	57	26	11
23013	1375	772	1432	1424	1358	822	1173	1280
7709	8	84	61	75	8	76	12	5
149563	17	5	0	0	0	16	14	0
27129	7	10	11	8	2	7	3	6
1187	0	1	4	1	1	0	0	0
1188	0	1	0	1	1	1	2	0
348487	5	20	0	0	0	21	6	0
1969	0	5	89	96	16	3	6	17
100506484	1	0	1	2	0	0	0	0
128272	2	3	26	12	6	2	0	3
79363	8	42	24	27	1	34	9	2
54455	247	157	160	143	133	136	221	130
26099	206	270	658	684	304	266	190	260
374955	0	3	0	3	1	1	0	1
55707	128	106	323	343	197	90	123	182
114819	89	72	38	36	30	69	77	43
26871	20729	108971	123712	125200	7150	107689	20067	6909
100506533	0	1	4	2	1	1	1	0
100133301	0	1	0	0	0	1	0	0
55672	848	468	364	408	392	466	814	383
84809	92	75	147	137	101	69	87	108
11209	8	11	409	378	79	14	6	79
26869	753	5694	5196	5581	226	5450	728	209
729574	0	0	0	1	0	0	0	0
284729	0	3	40	38	3	4	0	2
729587	0	0	1	0	0	0	0	0
6060	857	4296	5160	5702	287	3882	767	242
11223	20	19	297	301	123	14	24	126
100506687	48	24	99	113	98	37	55	106
26870	542	3114	1513	1604	86	2881	489	88
9696	6	72	29	51	3	75	4	2
4237	0	1	2	1	0	0	0	0
23400	98	513	116	125	6	525	91	2
6390	383	359	970	965	813	358	396	823
11240	1984	1397	6	10	6	1443	1934	10
400743	0	0	0	0	0	0	0	0
29943	0	0	0	0	0	0	0	0
51702	0	0	0	0	0	0	0	0
23569	0	5	1	3	1	3	1	2
353238	0	0	0	1	0	0	0	0
55920	289	274	236	256	111	268	269	121
55160	49	136	660	593	130	125	77	176
81569	0	1	0	1	0	0	0	0
84966	69	158	2	4	0	153	61	0
127707	1	0	132	112	59	1	2	71
5081	28	24	0	0	0	13	23	0
80834	0	0	1	0	2	0	0	0
8659	41	159	2336	2298	228	138	37	224
100302276	0	0	2	3	0	1	2	5
126917	194	180	110	128	58	198	197	41
23352	2381	1377	3728	3816	3322	1409	2215	3293
23065	690	451	494	495	394	410	651	412
51154	212	185	170	171	128	215	197	130
246181	5	9	236	254	156	14	9	147
22977	5	10	688	705	249	8	3	221
100506730	110	51	31	35	49	46	115	40
8574	101	81	292	313	116	97	88	117
54896	6	26	44	46	5	24	11	4
832	620	512	568	592	413	504	648	385
644075	15	8	23	27	14	21	17	13
644083	7	9	11	10	4	5	5	11
440574	516	521	189	222	127	520	531	106
4681	225	802	67	55	9	801	250	10
3362	1	6	0	0	0	3	3	0
255104	12	20	103	66	39	11	9	35
54546	0	0	1	3	2	0	0	1
23252	401	220	71	60	95	226	438	71
30814	0	0	0	0	0	0	0	0
5320	1	0	45	54	34	1	0	35
5322	17	22	37	25	21	17	16	28
26279	0	0	9	8	1	1	0	4
64600	0	0	0	0	0	0	0	0
391013	1	0	0	0	0	0	0	0
127733	74	39	144	148	143	40	77	123
127731	3	1	0	0	0	1	0	0
339505	37	18	0	2	0	23	23	0
55450	3568	2300	385	447	328	2258	3394	360
79594	94	102	190	178	73	106	85	56
163933	17	29	2	3	0	28	15	1
978	0	2	62	79	29	3	3	21
65018	1090	1454	954	1016	390	1347	1009	389
1650	300	337	905	863	368	354	280	404
57576	17	68	11	7	1	74	14	1
400745	204	229	0	1	0	221	220	0
50809	1937	1072	961	1022	1174	1019	1925	1126
8672	2985	1358	534	594	720	1331	2770	636
100302155	4	1	1	1	0	1	1	1
1889	101	180	985	982	355	183	125	336
100506824	3	2	8	6	3	1	2	7
100506801	0	1	8	5	3	4	4	7
84224	30	24	29	33	19	29	39	24
249	35	36	334	394	139	47	34	123
5909	293	519	79	63	17	550	280	15
84196	808	438	475	484	544	439	719	572
401944	0	0	4	7	1	0	2	2
3339	7	38	2348	2355	66	58	2	102
23436	0	0	2	0	0	0	0	0
10136	0	0	2	0	0	0	0	1
29092	55	64	72	84	60	48	55	70
998	2372	1272	1328	1342	1313	1255	2432	1312
54361	9	11	3	9	6	8	6	6
9923	314	194	312	307	289	177	320	285
2046	1	3	1	1	0	11	1	0
712	33	246	1392	1382	122	248	27	118
714	36	201	1343	1358	106	232	42	114
713	78	338	1586	1618	247	298	75	245
2048	70	137	15	14	0	119	77	4
100422914	0	0	0	0	0	0	0	0
646262	0	0	0	0	0	0	0	0
729059	3	1	0	0	0	0	2	0
23028	956	427	434	411	466	439	896	450
100422866	0	0	0	0	2	0	0	0
7798	1111	575	229	236	191	527	999	228
3352	22	11	0	0	0	6	14	0
10236	1152	698	705	728	624	696	1107	674
80818	497	212	124	125	160	204	497	161
148898	41	40	17	19	15	41	42	19
6920	41	22	1149	1184	941	16	35	951
55616	75	104	161	169	84	96	95	75
1870	0	0	4	4	3	0	1	3
3399	30	95	202	204	30	120	35	30
259283	1	2	1	1	0	0	1	0
729856	0	0	0	0	0	0	0	0
6135	2103	1442	3796	3910	3533	1381	2135	3345
6924	374	214	650	679	595	198	332	578
100506963	17	9	26	14	12	8	13	7
57095	1156	663	288	282	206	696	1152	214
11313	15	60	164	145	19	73	12	17
2582	21	43	294	285	54	50	22	57
3155	100	72	1519	1580	958	89	100	871
2517	149	88	757	714	817	91	163	793
1269	0	0	1	0	1	0	0	2
55629	601	342	471	471	545	341	561	470
10772	642	354	657	623	715	378	615	739
127294	0	0	1	0	4	0	1	2
58985	0	0	45	38	20	0	0	18
163702	11	5	71	59	32	6	7	38
284632	0	0	0	0	0	0	0	0
57822	0	3	4	4	4	5	3	6
90529	121	95	17	9	15	70	131	14
57185	1881	1187	117	124	96	1214	1928	100
11123	46	23	18	23	22	23	42	30
100506985	74	27	48	46	29	36	76	42
400746	42	20	93	104	92	31	35	104
10250	538	362	528	633	541	327	530	488
25932	1953	909	1638	1649	1912	877	1708	1887
864	3	5	61	66	22	1	3	34
25949	383	263	217	277	210	273	316	221
57035	304	314	378	364	295	278	274	298
6007	10	9	23	19	20	18	17	18
23585	696	427	321	377	323	363	700	306
6006	7	6	3	4	1	1	5	3
55219	597	300	855	891	961	278	607	960
26119	61	70	210	189	62	62	63	85
57134	191	157	312	318	164	132	173	143
100507013	6	4	19	18	16	2	7	20
57190	121	166	387	370	88	193	119	119
56181	418	255	425	478	401	253	399	407
646471	63	45	69	72	43	44	63	53
79000	23	20	8	12	9	13	32	17
164091	79	81	123	122	63	53	60	51
3925	9323	5234	112	114	128	4938	9091	108
5051	80	43	299	286	278	44	75	267
2134	45	204	0	0	0	176	38	0
7780	2	1	2	2	1	2	2	0
84676	0	0	0	0	0	0	0	1
149420	358	191	263	269	343	156	346	330
79927	2	8	10	11	2	5	1	5
100128346	0	0	1	2	0	1	1	1
51042	7	38	44	38	2	36	1	2
10256	3	7	3	9	1	5	4	0
378807	0	0	0	0	0	0	0	0
64793	231	119	99	91	93	136	247	89
83442	72	211	217	188	55	227	78	42
91544	9	44	45	51	10	39	7	10
1043	18	10	55	62	49	11	11	48
55057	0	0	0	1	0	0	0	0
257101	0	2	1	0	0	1	0	0
79727	5	1	3	0	1	1	3	4
79947	271	189	181	190	160	164	283	138
3151	525	361	685	661	715	368	528	612
6195	46	86	100	105	35	94	59	41
100302190	0	0	0	0	0	0	0	0
8289	551	517	782	772	484	492	572	458
55650	117	72	265	315	251	72	112	285
84243	30	44	126	142	54	46	32	47
2810	1	1	2	1	0	0	0	0
54707	47	65	83	73	40	57	38	35
63906	48	73	63	68	21	64	47	20
8431	0	0	106	113	27	0	0	21
10726	280	376	506	484	256	319	285	276
126695	0	0	19	17	13	1	0	8
646567	48	10	102	114	198	18	44	213
388610	290	161	28	23	17	178	257	26
115572	2	2	6	5	2	2	2	0
6548	38	100	63	66	8	123	48	14
23038	131	242	397	409	104	251	155	95
84065	24	171	153	153	18	188	25	13
644961	17	25	31	30	14	26	16	17
84958	1	3	12	10	3	3	0	1
9064	5	20	48	77	12	27	6	16
8547	5	1	1741	1862	335	0	0	276
388611	0	0	0	0	0	0	1	0
2827	19	26	1	0	0	17	15	0
10163	251	279	423	420	236	222	263	235
27245	50	176	132	120	20	197	58	16
2268	10	15	94	94	36	9	10	40
2537	985	962	1099	1062	528	886	1000	510
199870	302	139	112	122	145	139	288	128
23673	1233	657	368	366	352	672	1184	374
5511	397	226	208	247	216	239	414	190
677774	24	83	120	112	22	80	32	16
9473	55	60	279	263	92	72	50	89
6118	291	185	136	159	153	169	257	134
27293	5	2	4	3	5	2	3	2
55113	19	18	85	75	20	17	15	29
2140	178	92	122	133	151	82	181	183
653566	443	295	579	578	550	338	465	534
5724	115	119	115	117	77	100	106	51
22826	449	305	242	231	147	262	474	171
93974	585	903	700	765	436	856	554	433
83667	37	40	146	150	53	53	35	50
54797	158	106	147	156	134	116	166	129
65979	235	150	677	680	693	142	250	691
8420	92	53	76	79	71	45	82	64
1104	47	18	118	112	62	38	32	71
6080	3524	13222	14695	14952	1709	12987	3528	1606
26768	2876	9413	9994	9915	1549	9031	2684	1563
54952	155	89	69	69	68	94	153	61
85028	48	29	22	27	35	29	52	20
692212	15	4	5	2	8	1	7	9
677838	23	26	50	56	12	29	16	8
677825	37	22	26	22	9	36	29	14
692073	13	58	90	77	9	53	25	13
115273	1	1	3	5	3	1	0	1
6883	162	104	120	107	112	110	166	128
26824	298	388	176	198	90	386	265	87
10691	99	66	47	64	63	61	85	62
51441	470	280	471	451	479	252	497	448
4985	4	16	0	0	0	11	3	0
2035	217	140	744	763	781	116	222	793
399474	8	5	35	36	20	7	7	15
6429	284	293	382	389	308	277	343	296
51102	84	92	83	80	34	89	87	39
10076	55	148	170	148	22	126	41	36
100288450	0	0	1	0	0	0	0	0
4146	4	2	0	1	0	2	2	0
100129196	4	13	5	7	2	8	6	1
7805	430	515	922	935	522	529	427	423
9672	659	886	1466	1487	367	879	685	397
9698	1557	925	1060	1106	942	872	1468	937
692234	8	4	9	3	4	4	4	6
692235	3	8	1	2	4	3	5	5
692200	3	2	5	5	2	2	8	4
28997	13	10	23	29	23	11	11	20
79570	25	26	0	0	0	19	19	0
9410	240	140	157	141	163	119	246	162
51538	756	390	107	94	101	356	757	96
2170	1095	600	38	26	34	640	1122	33
347735	0	1	582	565	32	0	0	31
149086	0	0	4	1	0	0	0	0
284551	0	0	3	4	4	0	0	3
64129	10	24	258	254	60	32	19	43
3061	2	3	2	1	1	0	2	1
553115	192	228	345	286	132	248	201	145
1307	53	263	45	45	7	269	57	8
576	123	754	0	2	0	771	117	0
100423028	0	2	0	0	0	1	0	0
90853	1	2	0	0	0	2	0	0
8073	3432	1748	1207	1253	1363	1717	3262	1304
100507229	19	10	23	20	23	13	20	25
10657	901	646	747	823	694	645	853	705
55116	15	50	44	34	6	48	22	10
23633	1911	1018	948	929	904	989	1790	929
200081	293	250	761	791	490	229	290	511
79140	9	55	10	13	3	66	11	0
55721	35	28	15	9	12	28	36	13
149069	5	22	16	8	9	16	13	7
100507457	6	5	3	11	9	9	10	3
56063	33	16	27	32	12	35	27	11
8668	506	378	709	678	473	400	565	521
339483	10	24	37	48	12	17	14	17
84734	1	3	44	40	10	1	0	4
3932	0	1	27	33	17	0	0	8
3065	136	97	359	356	269	97	139	306
65108	1604	1158	208	233	112	1132	1509	109
100128071	1	11	6	4	0	9	0	1
81629	10	6	28	38	13	13	13	9
55108	679	589	694	733	480	592	657	430
728116	25	24	0	0	0	24	20	0
653121	222	160	103	92	111	134	194	99
339487	147	106	106	102	87	87	153	114
5928	1019	587	528	576	618	552	1022	583
81493	8	15	7	4	5	16	15	1
57648	77	118	159	160	53	102	50	40
8565	975	573	438	368	343	549	966	327
64766	277	155	139	178	210	155	299	205
252995	231	128	758	793	745	117	229	656
3208	377	866	1	0	0	892	398	0
113452	3	67	14	18	0	51	3	1
127544	271	139	145	125	130	150	251	118
100505584	10	209	3159	3132	82	204	4	68
204	266	186	1014	1005	1072	197	304	1027
113451	77	103	6	5	7	118	67	0
55223	48	64	35	35	12	68	46	4
149076	127	138	103	129	56	147	156	63
1912	202	256	389	404	138	252	200	144
7579	95	48	33	33	31	50	84	27
114784	109	117	7	0	3	100	119	2
127540	2	1	0	0	0	2	5	0
84970	1	2	0	0	0	6	4	0
693137	0	0	0	0	0	0	0	0
2709	4	3	1	1	0	6	1	2
127534	0	2	1	1	1	1	0	0
2707	2	3	3	6	1	3	1	2
2701	4	8	152	150	30	3	3	28
113444	289	237	278	347	242	251	321	231
58512	35	250	5	3	0	253	30	0
100506144	31	32	138	160	131	36	35	131
9204	376	156	208	194	292	187	382	252
79830	134	47	169	177	189	60	123	168
100506168	864	511	608	639	762	487	834	710
6421	1744	1108	1237	1269	1211	1046	1769	1289
9202	1548	688	674	680	897	650	1559	900
79932	710	433	676	727	661	415	729	635
23154	762	2292	63	60	7	2231	717	7
339488	15	17	2	6	2	10	10	5
5690	296	206	460	487	401	219	320	367
127703	1423	845	33	29	22	830	1373	19
63967	95	34	8	20	10	46	87	18
192670	288	148	269	302	357	143	312	358
26523	842	515	561	578	519	495	798	527
192669	335	162	256	271	343	161	323	322
27285	6	10	0	0	0	9	4	0
54936	52	71	62	68	18	57	41	23
1296	18	30	23	24	7	51	22	13
27095	428	285	281	297	265	280	406	284
55700	477	803	149	159	44	841	509	54
9967	1740	1078	1268	1325	1267	1073	1712	1224
79729	26	24	8	4	2	28	33	2
55194	4	16	30	22	1	14	4	4
83931	70	99	429	454	108	91	79	100
100506594	3	2	5	10	5	2	5	1
84967	15	43	75	67	15	29	15	15
127700	126	99	37	30	22	101	115	20
64960	270	195	338	332	319	162	239	310
1441	12	32	108	98	19	28	14	27
2899	494	404	3	4	3	371	455	0
100422898	0	0	0	0	0	0	0	0
728431	3	7	15	15	8	11	1	6
80149	2	4	31	24	7	1	2	3
64769	841	463	202	203	201	409	801	210
79753	141	98	128	120	117	109	150	107
7802	76	43	128	109	97	52	71	97
29889	206	106	214	234	241	129	240	262
284654	0	3	1	1	0	1	1	1
54955	129	94	92	87	93	78	136	77
55143	14	2	7	4	5	8	11	2
284656	63	98	0	0	0	100	69	0
149175	150	111	78	98	33	111	125	47
79693	110	70	66	80	54	66	104	53
127687	141	347	82	94	23	298	148	25
4520	237	146	202	211	213	136	259	212
3633	237	162	304	262	302	156	266	286
10946	345	179	307	301	263	202	313	268
2275	8	30	35	25	7	23	10	6
51118	292	203	154	148	180	152	293	169
5453	34	37	0	0	1	42	35	0
64121	155	88	108	108	117	83	167	119
26292	78	47	107	109	141	47	86	124
100506806	0	1	2	0	2	3	0	1
81025	34	21	20	14	9	24	32	21
54933	106	79	9	9	8	84	129	17
79647	786	426	291	301	255	404	784	238
4725	1439	718	394	368	461	720	1474	480
23499	8265	4517	4506	4585	5333	4294	8098	5075
100292290	6	6	5	3	6	3	10	3
643314	222	120	256	254	296	102	213	264
353500	54	57	25	17	21	44	53	18
728448	68	49	37	44	44	40	54	41
8761	345	227	610	672	505	236	325	473
100506950	5	2	7	14	13	3	3	12
677834	1	7	32	18	7	2	5	4
26508	18	8	42	51	35	12	19	38
84618	12	24	1	0	0	24	9	0
51440	2582	1363	3	0	1	1364	2457	3
10450	204	176	207	195	173	109	223	161
656	23	22	10	5	3	16	19	2
64064	3	11	2	4	0	4	6	0
100287437	0	1	0	0	0	0	1	0
54802	169	86	104	118	125	81	153	137
4610	27	11	127	137	78	16	23	101
84879	71	78	665	639	294	85	77	291
10487	1481	767	986	1045	958	741	1372	927
5538	1739	830	445	469	463	805	1767	455
6018	800	408	308	348	398	396	790	408
127391	0	0	2	0	1	0	0	1
10269	584	334	559	595	597	354	554	626
1298	107	228	10	7	1	221	92	0
100286988	6	99	78	71	3	96	6	9
64744	1439	674	511	518	560	663	1324	529
65243	93	60	17	10	21	45	104	12
339559	56	33	37	31	39	44	64	48
64789	78	40	36	48	67	27	63	54
127396	63	34	138	111	155	30	66	179
9783	2823	2033	30	23	22	1977	2739	14
100130557	34	12	27	30	52	22	45	47
4802	160	107	260	267	186	111	129	186
407034	2	1	3	7	8	0	1	6
407031	1	0	11	7	5	0	4	6
9132	8	25	1	5	0	20	9	1
163732	5	16	56	69	4	15	0	3
1503	185	81	924	951	1035	94	192	1079
100507178	3	6	123	138	117	5	8	94
200172	0	1	36	24	5	1	0	3
22955	203	124	193	208	173	128	202	168
100132074	0	2	0	2	0	3	0	0
1907	0	0	0	0	0	0	0	0
59269	88	98	50	47	26	96	75	23
100507198	45	19	24	30	29	21	37	22
2981	0	1	8	10	0	0	0	0
2980	0	0	0	1	0	0	0	0
22887	998	559	382	417	434	532	1009	422
284716	775	434	12	15	18	368	811	7
84217	34	20	46	55	48	22	37	42
79717	258	146	402	425	509	140	242	415
100507214	14	12	4	7	2	10	13	3
728621	132	53	9	14	24	58	131	12
10465	95	56	40	47	36	71	86	44
100507252	6	7	4	3	4	7	9	2
4904	383	270	758	754	675	249	379	627
149461	0	0	2	0	0	0	0	1
64175	36	25	169	130	96	35	32	92
79078	84	62	71	78	53	77	77	56
100129924	0	0	1	0	0	3	0	2
100507268	1	0	1	0	2	0	1	0
